Target,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transf,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Date,"Equity Indices, FTSE, 100, Index, Price Return, Close, GBP","Equity Indices, FTSE, 250, Index, Price Return, Close, GBP","Equity Indices, FTSE, 350, Index, Price Return, Close, GBP","FX Indices, J.P. Morgan, Real Broad Effective Exchange Rate CPI Index","FX Indices, J.P. Morgan, Real Broad Effective Exchange Rate PPI Index","FX Indices, J.P. Morgan, Nominal Broad Effective Exchange Rate Index","FX Spot Rates, Bank of England, GBP per EUR, Fixing","FX Spot Rates, Bank of England, GBP per USD, Fixing","Government Benchmarks, Bank of England, 5 Year, Yield","Government Benchmarks, Macrobond, 2 Year, Yield","Government Benchmarks, Macrobond, 1 Year, Yield","Government Benchmarks, Macrobond, 20 Year, Yield","Government Benchmarks, Macrobond, 3 Year, Yield","Government Benchmarks, Macrobond, 4 Year, Yield","Government Benchmarks, Macrobond, 5 Year, Yield","Government Benchmarks, Macrobond, 6 Year, Yield","Government Benchmarks, Macrobond, 7 Year, Yield","Interbank Rates, LIBOR, 1 Month, Fixing","Interbank Rates, LIBOR, 1 Week, Fixing","Interbank Rates, LIBOR, 12 Month, Fixing","Interbank Rates, LIBOR, 2 Month, Fixing","Interbank Rates, LIBOR, 3 Month, Fixing","Interbank Rates, LIBOR, 6 Month, Fixing","Swap Rates, Macrobond, GBP, 10 Year, Mid","Swap Rates, Macrobond, GBP, 2 Year, Mid","Swap Rates, Macrobond, GBP, 5 Year, Mid"
1994-12-30,3065.54,3501.8,1537.3,109.5781,112.1813,97.9083,0.7963,0.6392,8.7537,8.05,7.08,8.2,8.55,8.57,8.64,8.67,8.74,6.0625,,8,6.375,6.67969,7.1875,9.08,8.5,8.91
1995-01-02,3065.54,3501.8,1537.3,109.5781,112.1813,97.9083,0.7963,0.6392,8.7537,8.05,7.08,8.2,8.55,8.57,8.64,8.67,8.74,6.0625,,8,6.375,6.67969,7.1875,9.08,8.5,8.91
1995-01-03,3065.7,3496.2,1536.8,109.6917,112.6058,98.1028,0.7952,0.64,8.8098,8.11,7.12,8.25,8.6,8.62,8.7,8.73,8.81,6.16406,,8,6.41406,6.64063,7.1875,9.14,8.58,8.98
1995-01-04,3051.6,3482.1,1529.9,109.8345,112.83,98.2538,0.7928,0.6401,8.7525,8.04,7.13,8.22,8.57,8.56,8.64,8.67,8.74,6.08594,,8,6.375,6.625,7.1875,9.05,8.53,8.93
1995-01-05,3032.3,3473.3,1521.5,109.6462,112.714,98.1086,0.7944,0.6396,8.7632,8.08,7.13,8.25,8.59,8.58,8.65,8.68,8.75,6.0625,,7.9375,6.375,6.625,7.125,9.09,8.56,8.98
1995-01-06,3065,3479.6,1534.8,109.1898,112.3223,97.7235,0.7964,0.6434,8.7238,8.03,7.08,8.2,8.52,8.54,8.61,8.63,8.69,6,,7.9375,6.3125,6.5625,7.0625,8.98,8.47,8.88
1995-01-09,3055.8,3477.1,1531,109.2632,112.5532,97.8358,0.7974,0.6432,8.7954,8.01,7.08,8.27,8.58,8.61,8.69,8.71,8.76,6.0625,,7.91406,6.3125,6.5625,7.0625,9.02,8.45,8.93
1995-01-10,3060.4,3471.8,1532.2,108.9187,112.3537,97.5737,0.8024,0.641,8.7889,8.03,7.07,8.25,8.59,8.6,8.68,8.7,8.76,6.0625,,7.92188,6.4375,6.5625,7.07813,9.06,8.48,8.97
1995-01-11,3049.4,3476.6,1528.5,108.6778,112.183,97.3811,0.8017,0.6408,8.7775,7.93,6.98,8.24,8.53,8.59,8.67,8.7,8.74,6.05469,,7.75,6.3125,6.5,7,9.02,8.36,8.91
1995-01-12,3033.2,3471,1521.7,109.3812,112.9876,98.0349,0.7999,0.637,8.7518,7.91,6.97,8.21,8.49,8.56,8.65,8.68,8.71,5.9375,,7.74219,6.25,6.4375,6.9375,9.02,8.31,8.9
1995-01-13,3048.3,3465.3,1526.9,109.2188,112.8984,97.9128,0.7989,0.6372,8.7509,7.85,6.93,8.2,8.43,8.56,8.65,8.68,8.64,6,,7.75,6.30469,6.4375,6.9375,8.95,8.27,8.83
1995-01-16,3076.7,3473.9,1538.7,109.2188,112.8984,97.9128,0.8019,0.6369,8.6983,7.9,6.94,8.24,8.47,8.51,8.59,8.62,8.66,6.125,,7.75,6.3125,6.5,7,8.99,8.32,8.86
1995-01-17,3054.4,3466.6,1529.4,108.8235,112.6935,97.6256,0.8021,0.6385,8.6887,7.92,6.94,8.23,8.46,8.5,8.58,8.61,8.67,6.125,,7.75,6.3125,6.5,7,9,8.32,8.86
1995-01-18,3054.9,3465,1529.4,109.0735,112.9209,97.847,0.7992,0.6361,8.7754,7.95,7.01,8.25,8.5,8.58,8.67,8.7,8.69,6.10156,,7.875,6.375,6.5625,7.0625,9.01,8.38,8.9
1995-01-19,3028.6,3449.3,1517.7,109.1428,112.9614,97.9063,0.8001,0.637,8.7316,7.95,7.04,8.2,8.52,8.55,8.62,8.64,8.69,6.24219,,7.9375,6.5,6.6875,7.125,9.01,8.42,8.91
