Target,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Transf,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
date,"Unemployment, Rate, as a Percent of Civilian Labour Force, SA","Unemployment, Total, SA","Employment, Total, Domestic Concept, Calendar Adjusted, SA","Construction Status, Dwellings, Total, All Types of Construction, German Federal Statistical Office (Statistisches Bundesamt), Permits","Employment, Employees, By Sectors, Retail Trade, Excluding Vehicle Trade, Index","Capacity Utilization, Construction, Building Construction, East Germany","Capacity Utilization, Construction, Civil Engineering","Capacity Utilization, Construction, Building Construction","Capacity Utilization, Construction, Total, East Germany","Capacity Utilization, Construction, Total","Capacity Utilization, Construction, Civil Engineering, East Germany","Electricity, Gas, Steam & Air-Conditioning Supply, Total, Calendar Adjusted (BV4.1), Constant Prices, SA (BV4.1), Index","Energy Production, Transmission & Distribution, Total, Calendar Adjusted (X13 JDemetra+), Constant Prices, Index","Energy Production, Transmission & Distribution, Total, Calendar Adjusted (X13 JDemetra+), Constant Prices, Index","Industrial Production, By Goods, Consumer Goods, Calendar Adjusted (BV4.1), Constant Prices, SA (BV4.1), Index","Industrial Production, By Goods, Capital Goods, Excluding Manufacture of Motor Vehicles, Calendar Adjusted (BV4.1), Constant Prices, SA (BV4.1), Index","Industrial Production, By Goods, Energy, Excluding Electricity, Gas, Steam, Air Conditioning Supply, Water Supply, Sewerage, Waste Management & Remediation Activities, Calendar Adjusted (BV4.1), Constant Prices, SA (BV4.1), Index","Industrial Production, By Goods, Durable Consumer Goods, Calendar Adjusted (BV4.1), Constant Prices, SA (BV4.1), Index","Industrial Production, By Goods, Consumer Goods, Excluding Manufacture of Food Products; Manufacture of Beverages; Manufacture of Tobacco Products, Calendar Adjusted (BV4.1), Constant Prices, SA (BV4.1), Index","Industrial Production, By Goods, Non-Durable Consumer Goods, Calendar Adjusted (BV4.1), Constant Prices, SA (BV4.1), Index","Industrial Production, By Goods, Intermediate Goods & Capital Goods, Calendar Adjusted (BV4.1), Constant Prices, SA (BV4.1), Index","Industrial Production, By Goods, Energy, Excluding Water Supply, Sewerage, Waste Management & Remediation Activities, Calendar Adjusted (BV4.1), Constant Prices, SA (BV4.1), Index","Industrial Production, By Goods, Investment Goods, Calendar Adjusted (BV4.1), Constant Prices, SA (BV4.1), Index","Industrial Production, By Goods, Intermediate Goods, Calendar Adjusted (BV4.1), Constant Prices, SA (BV4.1), Index","Industrial Production, Total, Excluding Mining of Coal & Lignite; Extraction of Crude Petroleum & Natural Gas; Manufacture of Food Products; Manufacture of Beverages; Manufacture of Tobacco Products; Manufacture of Coke & Refined Petroleum Products; Electricity, Gas, Steam, Air Conditioning Supply; Water Supply, Sewerage, Waste Management & Remediation Activities, Calendar Adjusted (BV4.1), Constant Prices, SA (BV4.1), Index","Industrial Production, Total, Excluding Energy & Construction, Calendar Adjusted (BV4.1), Constant Prices, SA (BV4.1), Index","Industrial Production, Total, Excluding Construction, Calendar Adjusted (BV4.1), Constant Prices, SA (BV4.1), Index","Industrial Production, Total, Excluding Construction & Manufacturing of Food, Beverages & Tobacco, Calendar Adjusted (BV4.1), Constant Prices, SA (BV4.1), Index","Industrial Production, Total, Calendar Adjusted (X13 JDemetra+), Constant Prices, SA (X13 JDemetra+), Index","Manufacturing, Total, All Sectors, Calendar Adjusted (BV4.1), Constant Prices, SA (BV4.1), Index","Manufacturing, Beverages, Total, Trend Adjusted (BV4.1), Constant Prices, Index","Manufacturing, Chemical Products, Total, Calendar Adjusted (BV4.1), Constant Prices, SA (BV4.1), Index","Manufacturing, Clothing Industry, Total, Calendar Adjusted (BV4.1), Constant Prices, SA (BV4.1), Index","Manufacturing, Data Processing, Electronic & Optical Devices, Total, Calendar Adjusted (BV4.1), Constant Prices, SA (BV4.1), Index","Manufacturing, Electric Equipment, Total, Calendar Adjusted (BV4.1), Constant Prices, SA (BV4.1), Index","Manufacturing, Food Industry, Total, Calendar Adjusted (BV4.1), Constant Prices, SA (BV4.1), Index","Manufacturing, Furniture, Total, Calendar Adjusted (BV4.1), Constant Prices, SA (BV4.1), Index","Manufacturing, Glass, Ceramic, Processed Stones & Soils, Total, Calendar Adjusted (BV4.1), Constant Prices, SA (BV4.1), Index","Manufacturing, Leather Industry, Total, Calendar Adjusted (BV4.1), Constant Prices, SA (BV4.1), Index","Manufacturing, Machine Building, Total, Calendar Adjusted (BV4.1), Constant Prices, SA (BV4.1), Index","Manufacturing, Metal Production & Processing, Total, Calendar Adjusted (BV4.1), Constant Prices, SA (BV4.1), Index","Manufacturing, Metal Products, Total, Calendar Adjusted (BV4.1), Constant Prices, SA (BV4.1), Index","Manufacturing, Motor Vehicles, Trailers & Semi-Trailers, Total, Calendar Adjusted (BV4.1), Constant Prices, SA (BV4.1), Index","Manufacturing, Other Goods, Total, Calendar Adjusted (BV4.1), Constant Prices, SA (BV4.1), Index","Manufacturing, Other Vehicles, Total, Calendar Adjusted (BV4.1), Constant Prices, SA (BV4.1), Index","Manufacturing, Paper Industry, Total, Trend Adjusted (BV4.1), Constant Prices, Index","Manufacturing, Pharmaceutical Products, Total, Calendar Adjusted (BV4.1), Constant Prices, SA (BV4.1), Index","Manufacturing, Printing & Related Support Activities, Total, Trend Adjusted (BV4.1), Constant Prices, Index","Manufacturing, Repair & Installation of Machines & Devices, Total, Calendar Adjusted (BV4.1), Constant Prices, SA (BV4.1), Index","Manufacturing, Rubber & Plastic Products, Total, Trend Adjusted (BV4.1), Constant Prices, Index","Manufacturing, Textile Industry, Total, Calendar Adjusted (BV4.1), Constant Prices, SA (BV4.1), Index","Mining & Quarrying, Total, Calendar Adjusted (BV4.1), Constant Prices, SA (BV4.1), Index","Mining & Quarrying & Manufacturing, Total, Calendar Adjusted (BV4.1), Constant Prices, SA (BV4.1), Index","New Orders, Construction, Building Construction & Civil Engineering, Calendar Adjusted (BV4.1), Current Prices, SA (BV4.1), Index","New Orders, Manufacturing, Total, Calendar Adjusted (BV4.1), Current Prices, SA (BV4.1), Index","Oil & Gas, Total, Calendar Adjusted (BV4.1), Constant Prices, SA (BV4.1), Index","Current Account, Primary Income, Total, Balance, Calendar Adjusted, SA, EUR","Current Account, Secondary Income, Balance, Calendar Adjusted, SA, EUR","Current Account, Services, Total, Balance, Calendar Adjusted, SA, EUR","Current Account, Total, Balance, Calendar Adjusted, SA, EUR","Current Account, Goods, Balance, Calendar Adjusted, SA, EUR","Bundesbank, German Foreign Trade: Balance, Flows, Aggregate, All Goods, Rest of the World, Calendar Adjusted, Current Prices, SA, EUR","Current Account, Goods, Exports, Calendar Adjusted, Current Prices, SA, EUR","Current Account, Goods, Balance, Calendar Adjusted, SA, EUR","Current Account, Goods, Imports, Calendar Adjusted, Current Prices, SA, EUR","Current Account, Services, Total, Balance, Calendar Adjusted, SA, EUR","Corporate Benchmarks, Other Bank Debt Securities, Yield","Corporate Benchmarks, Corporate Bonds, Yield","Corporate Benchmarks, Debt Securities Issued by Special Purpose Credit Institutions, Yield","Corporate Benchmarks, Bank Debt Securities, Yield","Interbank Rates, EURIBOR, 3 Month, Fixing, Average of Period","Government Benchmarks, Eurostat, Government Bond, 10 Year, Yield",spread,"Balance Sheet & Flows of MFI Sector, MFIs, Total Assets & Liabilities, All, EUR","Monetary Statistics, Monetary Aggregates, M1, Total, EUR","Monetary Statistics, Monetary Aggregates, M2, Total, SA, EUR","Monetary Statistics, Monetary Aggregates, M3, Total, SA, EUR","Deposits & Loans, Banks, Loans, By Entity, to Banks, Lending to Foreign Banks, EUR","Deposits & Loans, Banks, Loans, By Entity, to Banks, Lending to Domestic Banks, EUR","Deposits & Loans, Banks, Loans, By Entity, to Banks, Total, EUR","Deposits & Loans, Banks, Loans, By Entity, to Non-Banks, Total, EUR","Deposits & Loans, Banks, Loans, By Entity, to Non-Banks, Lending to Domestic General Government, EUR","Deposits & Loans, Banks, Loans, By Entity, to Non-Banks, Lending to Domestic Non-Banks, EUR","Deposits & Loans, Banks, Deposits, Total, EUR","Monetary Statistics, Monetary Aggregates, Currency in Circulation, Total, EUR","Bankruptcies, Total","Wages & Salaries, Gross, Construction, Calendar Adjusted, SA, EUR","Wages & Salaries, Gross, Industry, Per Unit of Output, Calendar Adjusted, SA, Index","Consumer Price Index, Total, Calendar Adjusted, SA","Consumer Price Index, Goods","Consumer Price Index, Services","Producer Price Index, Industrial Products, Total, Calendar Adjusted, SA"
1995-01-31,9.2,3545334.55,37913000,49722,106.2,65.2,50.5,62.3,58.5,57.3,52.1,93.5,109.6,109.6,94.8,59,135.8,116.7,101.1,90.7,64.4,99.9,57.1,72.2,68.3,69.5,72.1,71.1,74.7,69,120.6,80.8,512.7,31.7,68.7,76.2,149.4,118.1,139.4,64.5,88.6,65.6,49,60.3,57,88.1,55.9,105.4,58.4,72.7,157.5,216.4,70.5,136.4,52.4,198.5,-70000000,-2000000000,-3440000000,-310000000,5190000000,4440000000,31240000000,5190000000,26800000000,-3440000000,7.6,7.9,7.6,7.6,5.158729,7.6,2.441271,2.69838E+12,3.55868E+11,9.739E+11,1.0296E+12,2.40525E+11,8.46238E+11,1.08676E+12,2.24331E+12,4.95343E+11,2.11318E+12,9.15329E+11,1.12234E+11,2175,2110000000,101.2,74.4,76.1,73,78
1995-02-28,9.2,3510669.796,37910000,48885,105.5,66.9,53.4,64.2,61,59.6,55.3,90.5,96.1,96.1,95.3,60.3,133.2,117.8,101.4,91,66.1,96.8,58.2,74.4,69.8,70.9,73.1,72.2,77.1,70.4,120.5,81,472.2,33.3,70.2,76.6,150.8,126.6,139,65.3,89.6,67.7,50.3,63.8,56.3,87.7,54.8,105.6,58,72.7,157.6,219.4,71.8,136.7,52.7,191.7,-120000000,-2560000000,-3650000000,-2160000000,4170000000,3130000000,31650000000,4170000000,28520000000,-3650000000,7.4,7.7,7.4,7.4,5.099157,7.42,2.320843,2.71744E+12,3.5508E+11,9.726E+11,1.0276E+12,2.45715E+11,8.55141E+11,1.10086E+12,2.2585E+12,5.02312E+11,2.12768E+12,9.35735E+11,1.11904E+11,2206,2230000000,98.3,74.7,76.4,73.6,78.3
1995-03-31,9.2,3515712.935,37940000,57103,105.8,73.2,59.3,68.3,67.4,64.4,61.9,92.2,102.8,102.8,94.9,60.5,134.5,116.4,100.9,90.6,65.6,98.6,58,73.7,69.3,70.5,72.8,71.9,75.9,69.9,120.3,79.5,495.7,32.1,68.8,76.4,151.1,122.2,141.1,66.4,88.4,68.2,48.3,62.3,55.4,87.3,54.6,105.9,59.5,72.8,157.9,223.5,71.3,137.4,52.6,205,-220000000,-2180000000,-3790000000,-3740000000,2460000000,2080000000,31010000000,2460000000,28930000000,-3790000000,7.2,7.4,7.1,7.2,5.070156,7.28,2.209844,2.7202E+12,3.49244E+11,9.688E+11,1.0212E+12,2.42305E+11,8.54101E+11,1.09641E+12,2.26554E+12,5.04526E+11,2.13561E+12,9.2818E+11,1.13195E+11,2562,2230000000,102.1,74.8,76.3,73.7,78.5
1995-04-30,9.3,3561393.517,37981000,54468,105.6,77.7,65.2,72.4,73.5,69.3,69.5,93.7,91.8,91.8,94.6,60.5,135.2,115.1,100.1,90.5,65.6,99.9,58.4,73.5,69.4,70.6,72.9,71.9,76.3,69.9,120.1,79.4,487.2,32.9,70.2,77.5,147.8,119.4,134.5,65.4,89,67.3,49.7,62,55.8,86.9,55.8,106.1,59.9,72.5,153.1,218.1,71.4,134.9,52.4,213.7,-60000000,-2630000000,-3780000000,-1850000000,4620000000,3920000000,31510000000,4620000000,27590000000,-3780000000,6.9,7.2,6.8,6.8,4.678162,7.09,2.411838,2.73628E+12,3.53504E+11,9.704E+11,1.0243E+12,2.46959E+11,8.64402E+11,1.11136E+12,2.27515E+12,5.05577E+11,2.14411E+12,9.41695E+11,1.13625E+11,2293,2160000000,102,74.8,76.4,73.9,78.3
1995-05-31,9.3,3559513.977,37930000,53996,105.9,78.3,67.3,72.8,74.7,70.5,71.2,93.5,86.3,86.3,94.7,60.6,133.5,116.4,100.2,90.6,65.3,99.5,58.3,73,69.1,70.2,72.8,71.7,76.8,69.7,120,80.2,501.7,32.8,69.8,77.4,149,120.3,135.1,66.3,88.1,66.8,49.4,62.7,55.7,86.3,54,106.2,59.6,72,155.1,221.5,71.1,132.8,53,217.4,60000000,-2800000000,-3590000000,-2200000000,4120000000,3770000000,31720000000,4120000000,27950000000,-3590000000,6.6,7,6.6,6.6,4.593964,6.86,2.266036,2.74823E+12,3.58257E+11,9.784E+11,1.0327E+12,2.5209E+11,8.72081E+11,1.12417E+12,2.28938E+12,5.12023E+11,2.15444E+12,9.50088E+11,1.13249E+11,2317,2210000000,99.8,75,76.5,73.8,78.3
1995-06-30,9.4,3601763.826,37934000,53538,105.8,80,66.7,72.4,75.4,70,70.9,94.1,83.1,83.1,94.2,60.7,133.5,115.7,99.6,90,65.4,100.2,58.5,73.1,69,70.3,72.7,71.7,75.9,69.8,119.9,80.4,490.5,32.8,70.4,77.1,148.2,118.7,133.7,66.7,87.7,67.6,49.3,61.7,55.4,85.6,52.7,106.1,60.8,71.5,153.3,217.6,71.3,132.4,51.5,217.9,-70000000,-2130000000,-3380000000,-2320000000,3260000000,3320000000,32510000000,3260000000,29190000000,-3380000000,6.5,6.8,6.4,6.4,4.529,6.78,2.251,2.76753E+12,3.60783E+11,9.794E+11,1.0367E+12,2.58808E+11,8.63941E+11,1.12275E+12,2.30274E+12,5.09267E+11,2.16677E+12,9.46962E+11,1.13842E+11,2290,2160000000,100.9,75.1,76.5,74.3,78.4
1995-07-31,9.4,3622389.074,37946000,56261,105.9,81.5,66,74,76.5,70.6,71.8,93.6,81.5,81.5,94.6,61.3,135.5,115.9,99.7,90.5,65.4,100,58.7,72.7,69,70.2,72.8,71.7,75.7,69.7,120,78.5,492.1,33,70.3,77,149.3,117.1,132.6,67.9,89.2,67.6,48.3,62,54.2,85,54.6,106,60,71,154.6,222.4,71.2,133.6,53.2,220.1,-60000000,-2380000000,-3650000000,-2410000000,3680000000,3050000000,31170000000,3680000000,28120000000,-3650000000,6.6,6.9,6.5,6.5,4.560214,6.86,2.299786,2.7812E+12,3.61625E+11,9.831E+11,1.0304E+12,2.56345E+11,8.50959E+11,1.1073E+12,2.31278E+12,5.20166E+11,2.17691E+12,9.27157E+11,1.13887E+11,2549,2170000000,101.5,75.1,76.2,74.9,78.3
